Application_ID,Status,Patent_Examiner_ID,Patent_Attorney_ID,Office_ID
249801,Approved,500001,345001,1
249802,Approved,500002,345002,2
249803,Approved,500003,345003,3
249804,Approved,500004,345004,4
249805,Approved,500005,345005,1
249806,Approved,500006,345006,2
249807,Approved,500007,345007,3
249808,Approved,500008,345008,4
249809,Approved,500009,345009,1
249810,Approved,500010,345010,2
249811,Approved,500011,345011,3
249812,Approved,500012,345012,4
249813,Approved,500013,345013,1
249814,Approved,500014,345014,2
249815,Approved,500015,345015,3
249816,Approved,500016,345016,4
249817,Approved,500017,345017,1
249818,Approved,500018,345018,2
249819,Approved,500019,345019,3
249820,Approved,500020,345020,4
249821,Approved,500021,345021,1
249822,Approved,500022,345022,2
249823,Approved,500023,345023,3
249824,Approved,500024,345024,4
249825,Approved,500025,345025,1
249826,Approved,500026,345026,2
249827,Approved,500027,345027,3
249828,Approved,500028,345028,4
249829,Approved,500029,345029,1
249830,Approved,500030,345030,2
249831,Approved,500031,345031,3
249832,Approved,500032,345032,4
249833,Approved,500033,345033,1
249834,Approved,500034,345034,2
249835,Approved,500035,345035,3
249836,Approved,500036,345036,4
249837,Approved,500037,345037,1
249838,Approved,500038,345038,2
249839,Approved,500039,345039,3
249840,Approved,500040,345040,4
249841,Approved,500041,345041,1
249842,Approved,500042,345042,2
249843,Approved,500043,345043,3
249844,Approved,500044,345044,4
249845,Approved,500045,345045,1
249846,Approved,500046,345046,2
249847,Approved,500047,345047,3
249848,Approved,500048,345048,4
249849,Approved,500049,345049,1
249850,Approved,500050,345050,2
249851,Approved,500051,345051,3
249852,Approved,500052,345052,4
249853,Approved,500053,345053,1
249854,Approved,500054,345054,2
249855,Approved,500055,345055,3
249856,Approved,500056,345056,4
249857,Approved,500057,345057,1
249858,Approved,500058,345058,2
249859,Approved,500059,345059,3
249860,Approved,500060,345060,4
249861,Approved,500061,345061,1
249862,Approved,500062,345062,2
249863,Approved,500063,345063,3
249864,Approved,500064,345064,4
249865,Approved,500065,345065,1
249866,Approved,500066,345066,2
249867,Approved,500067,345067,3
249868,Approved,500068,345068,4
249869,Approved,500069,345069,1
249870,Approved,500070,345070,2
249871,Approved,500071,345071,3
249872,Approved,500072,345072,4
249873,Approved,500073,345073,1
249874,Approved,500074,345074,2
249875,Approved,500075,345075,3
249876,Approved,500076,345076,4
249877,Approved,500077,345077,1
249878,Approved,500078,345078,2
249879,Approved,500079,345079,3
249880,Approved,500080,345080,4
249881,Approved,500081,345081,1
249882,Approved,500082,345082,2
249883,Approved,500083,345083,3
249884,Approved,500084,345084,4
249885,Approved,500085,345085,1
249886,Approved,500086,345086,2
249887,Approved,500087,345087,3
249888,Approved,500088,345088,4
249889,Approved,500089,345089,1
249890,Approved,500090,345090,2
249891,Approved,500091,345091,3
249892,Approved,500092,345092,4
249893,Approved,500093,345093,1
249894,Approved,500094,345094,2
249895,Approved,500095,345095,3
249896,Approved,500096,345096,4
249897,Approved,500097,345097,1
249898,Approved,500098,345098,2
249899,Approved,500099,345099,3
249900,Approved,500100,345100,4
249901,Approved,500101,345101,1
249902,Approved,500102,345102,2
249903,Approved,500103,345103,3
249904,Approved,500104,345104,4
249905,Approved,500105,345105,1
249906,Approved,500106,345106,2
249907,Approved,500107,345107,3
249908,Approved,500108,345108,4
249909,Approved,500109,345109,1
249910,Approved,500110,345110,2
249911,Approved,500111,345111,3
249912,Approved,500112,345112,4
249913,Approved,500113,345113,1
249914,Approved,500114,345114,2
249915,Approved,500115,345115,3
249916,Approved,500116,345116,4
249917,Approved,500117,345117,1
249918,Approved,500118,345118,2
249919,Approved,500119,345119,3
249920,Approved,500120,345120,4
249921,Approved,500121,345121,1
249922,Approved,500122,345122,2
249923,Approved,500123,345123,3
249924,Approved,500124,345124,4
249925,Approved,500125,345125,1
249926,Approved,500126,345126,2
249927,Approved,500127,345127,3
249928,Approved,500128,345128,4
249929,Approved,500129,345129,1
249930,Approved,500130,345130,2
249931,Approved,500131,345131,3
249932,Approved,500132,345132,4
249933,Approved,500133,345133,1
249934,Approved,500134,345134,2
249935,Approved,500135,345135,3
249936,Approved,500136,345136,4
249937,Approved,500137,345137,1
249938,Approved,500138,345138,2
249939,Approved,500139,345139,3
249940,Approved,500140,345140,4
249941,Approved,500141,345141,1
249942,Approved,500142,345142,2
249943,Approved,500143,345143,3
249944,Approved,500144,345144,4
249945,Approved,500145,345145,1
249946,Approved,500146,345146,2
249947,Approved,500147,345147,3
249948,Approved,500148,345148,4
249949,Approved,500149,345149,1
249950,Approved,500150,345150,2
249951,Approved,500151,345151,3
249952,Approved,500152,345152,4
249953,Approved,500153,345153,1
249954,Approved,500154,345154,2
249955,Approved,500155,345155,3
249956,Approved,500156,345156,4
249957,Approved,500157,345157,1
249958,Approved,500158,345158,2
249959,Approved,500159,345159,3
249960,Approved,500160,345160,4
249961,Approved,500161,345161,1
249962,Approved,500162,345162,2
249963,Approved,500163,345163,3
249964,Approved,500164,345164,4
249965,Approved,500165,345165,1
249966,Approved,500166,345166,2
249967,Approved,500167,345167,3
249968,Approved,500168,345168,4
249969,Approved,500169,345169,1
249970,Approved,500170,345170,2
249971,Approved,500171,345171,3
249972,Approved,500172,345172,4
249973,Approved,500173,345173,1
249974,Approved,500174,345174,2
249975,Approved,500175,345175,3
249976,Approved,500176,345176,4
249977,Approved,500177,345177,1
249978,Approved,500178,345178,2
249979,Approved,500179,345179,3
249980,Approved,500180,345180,4
249981,Approved,500181,345181,1
249982,Approved,500182,345182,2
249983,Approved,500183,345183,3
249984,Approved,500184,345184,4
249985,Approved,500185,345185,1
249986,Approved,500186,345186,2
249987,Approved,500187,345187,3
249988,Approved,500188,345188,4
249989,Approved,500189,345189,1
249990,Approved,500190,345190,2
249991,Approved,500191,345191,3
249992,Approved,500192,345192,4
249993,Approved,500193,345193,1
249994,Approved,500194,345194,2
249995,Approved,500195,345195,3
249996,Approved,500196,345196,4
249997,Approved,500197,345197,1
249998,Approved,500198,345198,2
249999,Approved,500199,345199,3
250000,Approved,500200,345200,4
250001,Approved,500201,345001,1
250002,Approved,500202,345002,2
250003,Approved,500203,345003,3
250004,Approved,500204,345004,4
250005,Approved,500205,345005,1
250006,Approved,500206,345006,2
250007,Approved,500207,345007,3
250008,Approved,500208,345008,4
250009,Approved,500209,345009,1
250010,Approved,500210,345010,2
250011,Approved,500211,345011,3
250012,Approved,500212,345012,4
250013,Approved,500213,345013,1
250014,Approved,500214,345014,2
250015,Approved,500215,345015,3
250016,Approved,500216,345016,4
250017,Approved,500217,345017,1
250018,Approved,500218,345018,2
250019,Approved,500219,345019,3
250020,Approved,500220,345020,4
250021,Approved,500221,345021,1
250022,Approved,500222,345022,2
250023,Approved,500223,345023,3
250024,Approved,500224,345024,4
250025,Approved,500225,345025,1
250026,Approved,500226,345026,2
250027,Approved,500227,345027,3
250028,Approved,500228,345028,4
250029,Approved,500229,345029,1
250030,Approved,500230,345030,2
250031,Approved,500231,345031,3
250032,Approved,500232,345032,4
250033,Approved,500233,345033,1
250034,Approved,500234,345034,2
250035,Approved,500235,345035,3
250036,Approved,500236,345036,4
250037,Approved,500237,345037,1
250038,Approved,500238,345038,2
250039,Approved,500239,345039,3
250040,Approved,500240,345040,4
250041,Approved,500241,345041,1
250042,Approved,500242,345042,2
250043,Approved,500243,345043,3
250044,Approved,500244,345044,4
250045,Approved,500245,345045,1
250046,Approved,500246,345046,2
250047,Approved,500247,345047,3
250048,Approved,500248,345048,4
250049,Approved,500249,345049,1
250050,Pending,500250,345050,2
250051,Pending,500251,345051,3
250052,Pending,500252,345052,4
250053,Pending,500253,345053,1
250054,Pending,500254,345054,2
250055,Pending,500255,345055,3
250056,Pending,500256,345056,4
250057,Pending,500257,345057,1
250058,Pending,500258,345058,2
250059,Pending,500259,345059,3
250060,Pending,500260,345060,4
250061,Pending,500261,345061,1
250062,Pending,500262,345062,2
250063,Pending,500263,345063,3
250064,Pending,500264,345064,4
250065,Pending,500265,345065,1
250066,Pending,500266,345066,2
250067,Pending,500267,345067,3
250068,Pending,500268,345068,4
250069,Pending,500269,345069,1
250070,Pending,500270,345070,2
250071,Pending,500271,345071,3
250072,Pending,500272,345072,4
250073,Pending,500273,345073,1
250074,Pending,500274,345074,2
250075,Pending,500275,345075,3
250076,Pending,500276,345076,4
250077,Pending,500277,345077,1
250078,Pending,500278,345078,2
250079,Pending,500279,345079,3
250080,Pending,500280,345080,4
250081,Pending,500281,345081,1
250082,Pending,500282,345082,2
250083,Pending,500283,345083,3
250084,Pending,500284,345084,4
250085,Pending,500285,345085,1
250086,Pending,500286,345086,2
250087,Pending,500287,345087,3
250088,Pending,500288,345088,4
250089,Pending,500289,345089,1
250090,Pending,500290,345090,2
250091,Pending,500291,345091,3
250092,Pending,500292,345092,4
250093,Pending,500293,345093,1
250094,Pending,500294,345094,2
250095,Pending,500295,345095,3
250096,Pending,500296,345096,4
250097,Pending,500297,345097,1
250098,Pending,500298,345098,2
250099,Pending,500299,345099,3
250100,Pending,500300,345100,4
250101,Pending,500301,345101,1
250102,Pending,500302,345102,2
250103,Pending,500303,345103,3
250104,Pending,500304,345104,4
250105,Pending,500305,345105,1
250106,Pending,500306,345106,2
250107,Pending,500307,345107,3
250108,Pending,500308,345108,4
250109,Pending,500309,345109,1
250110,Pending,500310,345110,2
250111,Pending,500311,345111,3
250112,Pending,500312,345112,4
250113,Pending,500313,345113,1
250114,Pending,500314,345114,2
250115,Pending,500315,345115,3
250116,Pending,500316,345116,4
250117,Pending,500317,345117,1
250118,Pending,500318,345118,2
250119,Pending,500319,345119,3
250120,Pending,500320,345120,4
250121,Pending,500001,345121,1
250122,Pending,500002,345122,2
250123,Pending,500003,345123,3
250124,Pending,500004,345124,4
250125,Pending,500005,345125,1
250126,Pending,500006,345126,2
250127,Pending,500007,345127,3
250128,Pending,500008,345128,4
250129,Pending,500009,345129,1
250130,Pending,500010,345130,2
250131,Pending,500011,345131,3
250132,Pending,500012,345132,4
250133,Pending,500013,345133,1
250134,Pending,500014,345134,2
250135,Pending,500015,345135,3
250136,Pending,500016,345136,4
250137,Pending,500017,345137,1
250138,Pending,500018,345138,2
250139,Pending,500019,345139,3
250140,Pending,500020,345140,4
250141,Pending,500021,345141,1
250142,Pending,500022,345142,2
250143,Pending,500023,345143,3
250144,Pending,500024,345144,4
250145,Pending,500025,345145,1
250146,Pending,500026,345146,2
250147,Pending,500027,345147,3
250148,Pending,500028,345148,4
250149,Pending,500029,345149,1
250150,Rejected,500030,345150,2
250151,Rejected,500031,345151,3
250152,Rejected,500032,345152,4
250153,Rejected,500033,345153,1
250154,Rejected,500034,345154,2
250155,Rejected,500035,345155,3
250156,Rejected,500036,345156,4
250157,Rejected,500037,345157,1
250158,Rejected,500038,345158,2
250159,Rejected,500039,345159,3
250160,Rejected,500040,345160,4
250161,Rejected,500041,345161,1
250162,Rejected,500042,345162,2
250163,Rejected,500043,345163,3
250164,Rejected,500044,345164,4
250165,Rejected,500045,345165,1
250166,Rejected,500046,345166,2
250167,Rejected,500047,345167,3
250168,Rejected,500048,345168,4
250169,Rejected,500049,345169,1
250170,Rejected,500050,345170,2
250171,Rejected,500051,345171,3
250172,Rejected,500052,345172,4
250173,Rejected,500053,345173,1
250174,Rejected,500054,345174,2
250175,Rejected,500055,345175,3
250176,Rejected,500056,345176,4
250177,Rejected,500057,345177,1
250178,Rejected,500058,345178,2
250179,Rejected,500059,345179,3
250180,Rejected,500060,345180,4
250181,Rejected,500061,345181,1
250182,Rejected,500062,345182,2
250183,Rejected,500063,345183,3
250184,Rejected,500064,345184,4
250185,Rejected,500065,345185,1
250186,Rejected,500066,345186,2
250187,Rejected,500067,345187,3
250188,Rejected,500068,345188,4
250189,Rejected,500069,345189,1
250190,Rejected,500070,345190,2
250191,Rejected,500071,345191,3
250192,Rejected,500072,345192,4
250193,Rejected,500073,345193,1
250194,Rejected,500074,345194,2
250195,Rejected,500075,345195,3
250196,Rejected,500076,345196,4
250197,Rejected,500077,345197,1
250198,Rejected,500078,345198,2
250199,Rejected,500079,345199,3
250200,Rejected,500080,345200,4
250201,Rejected,500081,345001,1
250202,Rejected,500082,345002,2
250203,Rejected,500083,345003,3
250204,Rejected,500084,345004,4
250205,Rejected,500085,345005,1
250206,Rejected,500086,345006,2
250207,Rejected,500087,345007,3
250208,Rejected,500088,345008,4
250209,Rejected,500089,345009,1
250210,Rejected,500090,345010,2
250211,Rejected,500091,345011,3
250212,Rejected,500092,345012,4
250213,Rejected,500093,345013,1
250214,Rejected,500094,345014,2
250215,Rejected,500095,345015,3
250216,Rejected,500096,345016,4
250217,Rejected,500097,345017,1
250218,Rejected,500098,345018,2
250219,Rejected,500099,345019,3
250220,Rejected,500100,345020,4
250221,Rejected,500101,345021,1
250222,Rejected,500102,345022,2
250223,Rejected,500103,345023,3
250224,Rejected,500104,345024,4
250225,Rejected,500105,345025,1
250226,Rejected,500106,345026,2
250227,Rejected,500107,345027,3
250228,Rejected,500108,345028,4
250229,Rejected,500109,345029,1
250230,Rejected,500110,345030,2
250231,Rejected,500111,345031,3
250232,Rejected,500112,345032,4
250233,Rejected,500113,345033,1
250234,Rejected,500114,345034,2
250235,Rejected,500115,345035,3
250236,Rejected,500116,345036,4
250237,Rejected,500117,345037,1
250238,Rejected,500118,345038,2
250239,Rejected,500119,345039,3
250240,Rejected,500120,345040,4
250241,Rejected,500121,345041,1
250242,Rejected,500122,345042,2
250243,Rejected,500123,345043,3
250244,Rejected,500124,345044,4
250245,Rejected,500125,345045,1
250246,Rejected,500126,345046,2
250247,Rejected,500127,345047,3
250248,Rejected,500128,345048,4
250249,Rejected,500129,345049,1
