Language,Opp
Greek,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
Gagauz,TRUE
Luxembourgish,FALSE
New Zealand Sign Language,TRUE
Tajik,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,TRUE
Japaneese,FALSE
Japaneese,FALSE
Bengali,TRUE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,TRUE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
German,TRUE
German,FALSE
German,TRUE
German,TRUE
German,FALSE
German,TRUE
German,TRUE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,TRUE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,TRUE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,TRUE
German,TRUE
German,TRUE
German,FALSE
German,TRUE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
German,TRUE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,TRUE
German,FALSE
German,FALSE
German,FALSE
German,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
Chineese,FALSE
Chineese,TRUE
Chineese,FALSE